id,course,year,yearOfEducation,marks
1,1,2023,1,9 7 7 10 10 8 9 6 3 9
1,2,2023,1,6 10 10 9 10 10 10 9 6 10 10 9 5
1,4,2023,1,9 8 9 7 10 7 4 6 10 10 10 10 7 10 9
1,5,2023,1,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
1,6,2023,1,10 10 10 10 10 10 10 10 10 10 10 10 10
1,7,2023,1,8 10 6 8 8 10 5 10 10 7 10 10 9 8 9 10 10 10 10 4
1,9,2023,1,4 5 9 9 7 10 10 5 4 8 7 9 10 7 6
1,10,2023,1,10 2 9 6 8 10 10 10 9 9 8 6 10 9 8 8 10
1,11,2023,1,10 10 10 10 9 10 10 10 10 8 10 10 10 10 10 9 9
1,12,2023,1,10 5 8 7 10 10 8 6 10 10 10 6 6
1,13,2023,1,10 10 10 10 10 10 10 10 10 10 10 10
1,14,2023,1,10 10 10 10 10 10 10 10 10 10 10 10 9 10
1,15,2023,1,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
2,1,2019,1,10 10 10 10 10 10 10 10 10 10 10
2,2,2019,1,10 10 8 10 10 7 9 5 10 10 10 10 6 10 10 10 10
2,4,2019,1,6 7 10 10 8 10 6 6 10 10 9 6
2,5,2019,1,6 10 10 10 10 7 10 10 10 10 10 8 10 10 10 10
2,6,2019,1,9 8 5 10 6 6 10 10 10 8 10 10 8 10 10 10 9 10 10 5
2,7,2019,1,10 8 10 10 9 9 6 7 10 4 10 7 10 9 10 6
2,9,2019,1,8 9 6 10 10 6 10 10 2 7 10 10
2,10,2019,1,10 10 10 10 10 10 10 10 10 10 10 10 10
2,11,2019,1,8 5 4 10 8 9 10 5 6 9 9 6 6
2,12,2019,1,9 8 9 10 10 8 10 8 10 9 10 10 10 7 10 10 9 10 6
2,13,2019,1,8 6 5 7 9 7 9 5 6 8 9 7
2,14,2019,1,10 6 6 8 10 9 10 8 10 6 8 8 8 7 10 9
2,15,2019,1,10 7 10 10 7 7 7 6 7 7 10 10 9 10 8 10 10 7
2,1,2020,2,7 8 10 6 6 9 10 9 10 8 3 4 5 8 6 8 10 10
2,2,2020,2,1 5 3 4 2 3 2 3 2 3 1 4 3 2 5 5
2,4,2020,2,6 10 5 10 5 6 6 7 7 7 8 4 10 6 8 8 7 8
2,5,2020,2,10 3 5 5 8 10 4 8 5 8 4
2,6,2020,2,3 4 3 2 7 4 7 1 5 3 2 5 4 10 4 6 7 3 7 3
2,7,2020,2,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
2,9,2020,2,7 7 9 5 8 8 9 8 10 9 8 8 9 5 7 4 10 7 7 7
2,10,2020,2,3 2 1 1 1 2 1 2 1 2 1 1 1 1 1
2,11,2020,2,10 8 5 6 9 10 10 10 5 10 10 10 5 5 9
2,12,2020,2,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
2,13,2020,2,7 9 10 7 10 4 6 10 10 7 9 4 8 5 6 10 10 5
2,14,2020,2,2 2 6 3 4 1 2 6 3 4
2,15,2020,2,1 1 1 1 1 1 1 1 2 2 4 2 1 2 2 2 1 1
2,1,2021,2,10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10 10
2,2,2021,2,10 8 10 9 10 10 10 10 9 10 9 10 10 10 10 9 5
2,4,2021,2,10 10 10 10 10 10 10 10 10 9 10 10 10 10 10 10 10 10 10
2,5,2021,2,6 7 6 8 6 6 10 10 10 6
2,6,2021,2,10 5 10 10 10 10 10 10 10 10 8 10 9 10
2,7,2021,2,8 8 10 4 10 9 9 10 9 10 9 10 5 8 10
